survey_id,kp,study_type,variable,var_raw,val_raw,val_label_raw,val_recode,notes,Questions,varcode,Column1
BEN2018ACA_FSW,FSW,,onart,groupe,1,"HIV positive, treated",1,,,bio,
BEN2018ACA_FSW,FSW,,onart,groupe,2,"HIV positive, not treated",0,,,bio,
BEN2018ACA_FSW,FSW,,onart,groupe,3,HIV negative,NA,,,bio,
BEN2018ACA_FSW,FSW,,cd4,cd4_nb,,,,CD4 cell count/mm³,,bio,
BEN2018ACA_FSW,FSW,,cdm_last_paid,q211,1,Yes,1,Condom use with last client,Maybe to change depending on definition of this variable in place,condom,
BEN2018ACA_FSW,FSW,,cdm_last_paid,q211,2,No,0,,,condom,
BEN2018ACA_FSW,FSW,,chlam,chlam,1,positive,1,CT prev,,bio,
BEN2018ACA_FSW,FSW,,chlam,chlam,2,negative,0,,,bio,
BEN2018ACA_FSW,FSW,,chlam,chlam,9,no answer,NA,,,bio,
BEN2018ACA_FSW,FSW,,clients_lastwk,q205,,,,"Number of clients, last 7 days",,client,
BEN2018ACA_FSW,FSW,,duration_mnth,duree,,,,"Duration in sex work, months",,behaviour,
BEN2018ACA_FSW,FSW,,end_visit,stop0,,,,Stop time in days for counting process,,longitudinal,
BEN2018ACA_FSW,FSW,,gon,gono,1,positive,1,NG prev,,bio,
BEN2018ACA_FSW,FSW,,gon,gono,2,negative,0,,,bio,
BEN2018ACA_FSW,FSW,,gon,gono,9,no answer,NA,,,bio,
BEN2018ACA_FSW,FSW,,hiv,groupe,1,"HIV positive, treated",1,HIV/treatment status,,bio,
BEN2018ACA_FSW,FSW,,hiv,groupe,2,"HIV positive, not treated",1,,,bio,
BEN2018ACA_FSW,FSW,,hiv,groupe,3,HIV negative,0,,,bio,
BEN2018ACA_FSW,FSW,,marital,q114,1,Married,1,Marital status,,dem,
BEN2018ACA_FSW,FSW,,marital,q114,2,Single,2,,,dem,
BEN2018ACA_FSW,FSW,,marital,q114,3,Divorced,3,,,dem,
BEN2018ACA_FSW,FSW,,marital,q114,4,Widowed,4,,,dem,
BEN2018ACA_FSW,FSW,,start_visit,start0,,,,Start time in days for counting process,,longitudinal,
BEN2018ACA_FSW,FSW,,old_subject_id,unique,,,,,,rds,
BEN2018ACA_FSW,FSW,,vl,charge_virale_copies,,,,Viral load,,bio,
BEN2018ACA_FSW,FSW,,workplace,q107,1,Brothel,1,Place of work,,client,
BEN2018ACA_FSW,FSW,,workplace,q107,2,Home,2,,,client,
BEN2018ACA_FSW,FSW,,workplace,q107,3,Bars,3,,,client,
BEN2018ACA_FSW,FSW,,workplace,q107,4,Hotels,4,,,client,
BEN2018ACA_FSW,FSW,,workplace,q107,5,Street,5,,,client,
BEN2018ACA_FSW,FSW,,workplace,q107,6,Nightclub,6,,,client,
BEN2018ACA_FSW,FSW,,workplace,q107,7,Others,7,,,client,
AGO2018PLACE_FSW,FSW,place,age,c16,,,,What is your age?,,dem,
AGO2018PLACE_FSW,FSW,place,age_fs,c63,99,never had sex,NA,At what age did you first have sex?,,behaviour,
AGO2018PLACE_FSW,FSW,place,anal_sex,c50,1,yes,1,In the past 6 months have you had anal sex with a man?,,behaviour,
AGO2018PLACE_FSW,FSW,place,anal_sex,c50,2,no,0,,,behaviour,
AGO2018PLACE_FSW,FSW,place,anal_sex,c50,8888,don't know,NA,,,behaviour,
AGO2018PLACE_FSW,FSW,place,onart,c96,1,yes,1,Are you currently taking ART to treat an infection? ,,bio,
AGO2018PLACE_FSW,FSW,place,onart,c96,2,no,0,,,bio,
AGO2018PLACE_FSW,FSW,place,onart,c96,8888,don't know,NA,,,bio,
AGO2018PLACE_FSW,FSW,place,cd4,cd4,,,,CD4 TEST RESULT - PIMA,,bio,
AGO2018PLACE_FSW,FSW,place,cdm_last_anal,c53,1,yes,1,"The last time you had anal sex, did you use a condom?",,condom,
AGO2018PLACE_FSW,FSW,place,cdm_last_anal,c53,2,no,0,,,condom,
AGO2018PLACE_FSW,FSW,place,cdm_last_anal,c53,8888,don't know,NA,,,condom,
AGO2018PLACE_FSW,FSW,place,cdm_last_paid,c59,1,yes,1,The last time you had sex for money did you use a condom?,,condom,
AGO2018PLACE_FSW,FSW,place,cdm_last_paid,c59,2,no,0,,,condom,
AGO2018PLACE_FSW,FSW,place,cdm_last_paid,c59,8888,don't know,NA,,,condom,
AGO2018PLACE_FSW,FSW,place,chlam_anal,xp_ct_a,1,positive,1,CHLAMYDIA TRACHOMATIS DETECTED IN ANAL SWAB SAMPLE ,,bio,
AGO2018PLACE_FSW,FSW,place,chlam_anal,xp_ct_a,2,negative,0,,,bio,
AGO2018PLACE_FSW,FSW,place,chlam_urine,xp_ct_u,1,positive,1,CHLAMYDIA TRACHOMATIS DETECTED IN URINE SAMPLE ,,bio,
AGO2018PLACE_FSW,FSW,place,chlam_urine,xp_ct_u,2,negative,0,,,bio,
AGO2018PLACE_FSW,FSW,place,chlam_vag,xp_ct_v,1,positive,1,CHLAMYDIA TRACHOMATIS DETECTED IN VAGINAL SWAB SAMPLE ,,bio,
AGO2018PLACE_FSW,FSW,place,chlam_vag,xp_ct_v,2,negative,0,,,bio,
AGO2018PLACE_FSW,FSW,place,circ_status,c75,1,yes,1,Are you a circumcised man?,,bio,
AGO2018PLACE_FSW,FSW,place,circ_status,c75,2,no,0,,,bio,
AGO2018PLACE_FSW,FSW,place,circ_status,c75,8888,don't know,NA,,,bio,
AGO2018PLACE_FSW,FSW,place,ever_art,,1,yes,1,Have you ever taken medicine for an HIV infection?,,bio,
AGO2018PLACE_FSW,FSW,place,ever_art,,2,no,0,,,bio,
AGO2018PLACE_FSW,FSW,place,ever_art,,8888,don't know,NA,,,bio,
AGO2018PLACE_FSW,FSW,place,free_cdm,c85,1,yes,1,Have you accessed free condoms in the past 6 mnths?,,behaviour,
AGO2018PLACE_FSW,FSW,place,free_cdm,c85,2,no,0,,,behaviour,
AGO2018PLACE_FSW,FSW,place,free_cdm,c85,8888,don't know,NA,,,behaviour,
AGO2018PLACE_FSW,FSW,place,fsw_place,fsw,1,yes,1,Classed as a FSW by the place survey.,,place,
AGO2018PLACE_FSW,FSW,place,gender,c22,1,male,0,self-identified gender,,dem,
AGO2018PLACE_FSW,FSW,place,gender,c22,2,female,1,,,dem,
AGO2018PLACE_FSW,FSW,place,gender,c22,3,M2F_TG,3,,,dem,
