survey_id,dataset,variable,val_raw,value,notes,Questions,varcode,analysis
_default_dhs,mr,circ_status,0,no,0,,,circ
_default_dhs,mr,circ_status,1,yes,1,,,circ
_default_dhs,mr,circ_status,8,don't know,,,,circ
_default_dhs,mr,circ_status,9,missing,,,,circ
_default_dhs,mr,circ_age,95,during childhood (<5 years),,,,circ
_default_dhs,mr,circ_age,98,don't know,,,,circ
_default_dhs,mr,circ_age,99,missing,,,,circ
_default_dhs,mr,circ_who,1,traditional practitioner / family friend,traditional,,,circ
_default_dhs,mr,circ_who,2,health worker / professional,medical,,,circ
_default_dhs,mr,circ_who,96,other,other,,,circ
_default_dhs,mr,circ_who,98,don't know,,,,circ
_default_dhs,mr,circ_who,99,missing,,,,circ
_default_dhs,mr,circ_who,11,"traditional practitioner \circumciser\""""",traditional,,,circ
_default_dhs,mr,circ_who,12,family/ friends,traditional,,,circ
_default_dhs,mr,circ_who,16,other traditional,traditional,,,circ
_default_dhs,mr,circ_who,21,doctor,medical,,,circ
_default_dhs,mr,circ_who,22,nurse,medical,,,circ
_default_dhs,mr,circ_who,26,other health professional,medical,,,circ
_default_dhs,mr,circ_where,1,health facility,medical,,,circ
_default_dhs,mr,circ_where,2,home of a health worker / professional,traditional,check how this should be coded,,circ
_default_dhs,mr,circ_where,3,circumcision done at home,traditional,,,circ
_default_dhs,mr,circ_where,4,ritual site,traditional,,,circ
_default_dhs,mr,circ_where,96,other home / place,traditional,,,circ
_default_dhs,mr,circ_where,98,don't know,,,,circ
_default_dhs,mr,circ_where,99,missing,,,,circ
_default_dhs,ir,circ_status,0,no,0,,,circ
_default_dhs,ir,circ_status,1,yes,1,,,circ
_default_dhs,ir,circ_status,9,missing,,,,circ
_default_dhs,ir,circ_age,95,during infancy,,,,circ
_default_dhs,ir,circ_age,98,don't know,,,,circ
_default_dhs,ir,circ_age,99,missing,,,,circ
_default_dhs,ir,bh_cdob_cmc,1,male,1,,,birth_history
_default_dhs,ir,bh_cdob_cmc,2,female,2,,,birth_history
_default_dhs,ir,bh_child_alive,0,no,0,,,birth_history
_default_dhs,ir,bh_child_alive,1,yes,1,,,birth_history
_default_dhs,ir,bh_breastfeeding,0,no,0,,,birth_history
_default_dhs,ir,bh_breastfeeding,1,yes,1,,,birth_history
_default_dhs,ir,sexbehav_time_intercourse,995,within last 4 weeks,0,,,sexbehav
_default_dhs,ir,sexbehav_time_intercourse,996,before last birth,,,,sexbehav
_default_dhs,ir,sexbehav_time_intercourse,997,inconsistent,,,,sexbehav
_default_dhs,ir,sexbehav_time_intercourse,998,don't know,,,,sexbehav
_default_dhs,ir,sexbehav_time_intercourse,999,missing,,,,sexbehav
_default_dhs,ir,sexbehav_age,0,not had sex,0,,,sexbehav
_default_dhs,ir,sexbehav_age,97,inconsistent,,,,sexbehav
_default_dhs,ir,sexbehav_age,98,don't know,,,,sexbehav
_default_dhs,ir,sexbehav_age,99,missing,,,,sexbehav
_default_dhs,ir,sexbehav_partner_num,98,don't know,,,,sexbehav
_default_dhs,ir,sexbehav_partner_num,99,missing,,,,sexbehav
_default_dhs,ir,sexbehav_relationship,1,spouse,1,,,sexbehav
_default_dhs,ir,sexbehav_relationship,2,boyfriend not living with respondent,2,,,sexbehav
_default_dhs,ir,sexbehav_relationship,3,other friend,3,,,sexbehav
_default_dhs,ir,sexbehav_relationship,4,casual acquaintance,4,,,sexbehav
_default_dhs,ir,sexbehav_relationship,5,relative,5,,,sexbehav
_default_dhs,ir,sexbehav_relationship,6,commercial sex worker,6,,,sexbehav
_default_dhs,ir,sexbehav_relationship,7,live-in partner,7,,,sexbehav
_default_dhs,ir,sexbehav_relationship,96,other,,,,sexbehav
_default_dhs,ir,sexbehav_relationship,99,missing,,,,sexbehav
_default_dhs,ir,sexbehav_other1,1,spouse,1,,,sexbehav
_default_dhs,ir,sexbehav_other1,2,boyfriend not living with respondent,2,,,sexbehav
_default_dhs,ir,sexbehav_other1,3,other friend,3,,,sexbehav
_default_dhs,ir,sexbehav_other1,4,casual acquaintance,4,,,sexbehav
_default_dhs,ir,sexbehav_other1,5,relative,5,,,sexbehav
_default_dhs,ir,sexbehav_other1,6,commercial sex worker,6,,,sexbehav
_default_dhs,ir,sexbehav_other1,7,live-in partner,7,,,sexbehav
_default_dhs,ir,sexbehav_other1,96,other,,,,sexbehav
_default_dhs,ir,sexbehav_other1,99,missing,,,,sexbehav
_default_dhs,ir,sexbehav_other2,1,spouse,1,,,sexbehav
_default_dhs,ir,sexbehav_other2,2,boyfriend not living with respondent,2,,,sexbehav
_default_dhs,ir,sexbehav_other2,3,other friend,3,,,sexbehav
_default_dhs,ir,sexbehav_other2,4,casual acquaintance,4,,,sexbehav
_default_dhs,ir,sexbehav_other2,5,relative,5,,,sexbehav
_default_dhs,ir,sexbehav_other2,6,commercial sex worker,6,,,sexbehav
_default_dhs,ir,sexbehav_other2,7,live-in partner,7,,,sexbehav
_default_dhs,ir,sexbehav_other2,96,other,,,,sexbehav
_default_dhs,ir,sexbehav_other2,99,missing,,,,sexbehav
_default_dhs,ir,sexbehav_sti,0,no,0,,,sexbehav
_default_dhs,ir,sexbehav_sti,1,yes,1,,,sexbehav
_default_dhs,ir,sexbehav_sti,8,don't know,,,,sexbehav
_default_dhs,ir,sexbehav_sti,9,missing,,,,sexbehav
_default_dhs,ir,sexbehav_sore,0,no,0,,,sexbehav
_default_dhs,ir,sexbehav_sore,1,yes,1,,,sexbehav
_default_dhs,ir,sexbehav_sore,8,don't know,,,,sexbehav
_default_dhs,ir,sexbehav_sore,9,missing,,,,sexbehav
_default_dhs,ir,sexbehav_discharge,0,no,0,,,sexbehav
_default_dhs,ir,sexbehav_discharge,1,yes,1,,,sexbehav
_default_dhs,ir,sexbehav_discharge,8,don't know,,,,sexbehav
_default_dhs,ir,sexbehav_discharge,9,missing,,,,sexbehav
_default_dhs,ir,sexbehav_marital,0,never in union,0,,,sexbehav
_default_dhs,ir,sexbehav_marital,1,married,1,,,sexbehav
_default_dhs,ir,sexbehav_marital,2,living with partner,2,,,sexbehav
_default_dhs,ir,sexbehav_marital,3,widowed,3,,,sexbehav
_default_dhs,ir,sexbehav_marital,4,divorced,4,,,sexbehav
_default_dhs,ir,sexbehav_marital,5,no longer living together/separated,5,,,sexbehav
_default_dhs,ir,sexbehav_marital,9,missing,,,,sexbehav
_default_dhs,ir,sexbehav_paidsex,0,no,0,,,sexbehav
_default_dhs,ir,sexbehav_paidsex,1,yes,1,,,sexbehav
_default_dhs,ir,sexbehav_paidsex,9,missing,,,,sexbehav
_default_dhs,ir,sexbehav_condom,0,no,0,,,sexbehav
_default_dhs,ir,sexbehav_condom,1,yes,1,,,sexbehav
_default_dhs,ir,sexbehav_condom,8,don't know,,,,sexbehav
_default_dhs,ir,sexbehav_condom,9,Missing,,,,sexbehav
_default_mics,mn,circ_status,1,Yes,1,,,circ
_default_mics,mn,circ_status,2,No,0,,,circ
_default_mics,mn,circ_status,9,Missing,,,,circ
_default_mics,mn,circ_age,98,DK,,,,circ
_default_mics,mn,circ_age,99,Missing,,,,circ
_default_mics,mn,circ_who,1,Traditional practitioner/family/friend,traditional,,,circ
_default_mics,mn,circ_who,2,Health worker/Professional,medical,,,circ
_default_mics,mn,circ_who,6,Other,traditional,,,circ
_default_mics,mn,circ_who,8,DK,,,,circ
_default_mics,mn,circ_who,9,Missing,,,,circ
_default_mics,mn,circ_where,1,Health facility,medical,,,circ
_default_mics,mn,circ_where,2,Home of a health worker/professional,traditional,check how this should be coded,,circ
_default_mics,mn,circ_where,3,Circumcision done at home,traditional,,,circ
_default_mics,mn,circ_where,4,Ritual site,traditional,,,circ
_default_mics,mn,circ_where,6,Other home/place,traditional,,,circ
_default_mics,mn,circ_where,8,DK,,,,circ
_default_mics,mn,circ_where,9,Missing,,,,circ
_default_mics,bh,bh_child_alive,1,Yes,1,,,birth_history
_default_mics,bh,bh_child_alive,2,No,0,,,birth_history
_default_mics,bh,bh_child_alive,9,Missing,,,,birth_history
_default_mics,bh,bh_child_sex,1,male,1,,,birth_history
_default_mics,bh,bh_child_sex,2,female,2,,,birth_history
_default_mics,bh,bh_child_sex,9,missing,,,,birth_history
_default_mics,mn,sexbehav_age,0,Never had intercourse,0,,,sexbehav
_default_mics,mn,sexbehav_age,95,First time when started living with partner,,,,sexbehav
_default_mics,mn,sexbehav_age,97,inconsistent,,,,sexbehav
_default_mics,mn,sexbehav_age,98,DK,,,,sexbehav
_default_mics,mn,sexbehav_age,99,Missing,,,,sexbehav
_default_mics,mn,sexbehav_partner_num,99,Missing,,,,sexbehav
_default_mics,mn,sexbehav_relationship,1,Wife,1,,,sexbehav
_default_mics,mn,sexbehav_relationship,2,Cohabiting partner,2,,,sexbehav
_default_mics,mn,sexbehav_relationship,3,Girlfriend,3,,,sexbehav
_default_mics,mn,sexbehav_relationship,4,casual acquaintance,4,,,sexbehav
_default_mics,mn,sexbehav_relationship,5,Prostitute,5,,,sexbehav
_default_mics,mn,sexbehav_relationship,6,Other,,,,sexbehav
_default_mics,mn,sexbehav_relationship,9,Missing,,,,sexbehav
_default_mics,mn,sexbehav_other1,1,Wife,1,,,sexbehav
_default_mics,mn,sexbehav_other1,2,Cohabiting partner,2,,,sexbehav
_default_mics,mn,sexbehav_other1,3,Girlfriend,3,,,sexbehav
_default_mics,mn,sexbehav_other1,4,casual acquaintance,4,,,sexbehav
_default_mics,mn,sexbehav_other1,5,Prostitute,5,,,sexbehav
_default_mics,mn,sexbehav_other1,6,Other,,,,sexbehav
_default_mics,mn,sexbehav_other1,9,Missing,,,,sexbehav
_default_mics,mn,sexbehav_marital,1,Currently married/in union,1,,,sexbehav
_default_mics,mn,sexbehav_marital,2,Formerly married/in union,2,,,sexbehav
_default_mics,mn,sexbehav_marital,3,Never married/in union,3,,,sexbehav
_default_mics,mn,sexbehav_marital,9,Missing/dk,,,,sexbehav
_default_mics,mn,sexbehav_condom,1,Yes,1,,,sexbehav
_default_mics,mn,sexbehav_condom,2,No,0,,,sexbehav
_default_mics,mn,sexbehav_condom,9,Missing,,,,sexbehav
_default_mics,wm,sexbehav_relationship,1,Husband,1,,,sexbehav
_default_mics,wm,sexbehav_relationship,2,Cohabiting partner,2,,,sexbehav
_default_mics,wm,sexbehav_relationship,3,Boyfriend,3,,,sexbehav
_default_mics,wm,sexbehav_relationship,4,casual acquaintance,4,,,sexbehav
_default_mics,wm,sexbehav_relationship,5,Ex-boyfriend,5,,,sexbehav
_default_mics,wm,sexbehav_relationship,6,Other,,,,sexbehav
_default_mics,wm,sexbehav_relationship,9,Missing,,,,sexbehav
_default_mics,wm,sexbehav_other1,1,Husband,1,,,sexbehav
_default_mics,wm,sexbehav_other1,2,Cohabiting partner,2,,,sexbehav
_default_mics,wm,sexbehav_other1,3,Boyfriend,3,,,sexbehav
_default_mics,wm,sexbehav_other1,4,casual acquaintance,4,,,sexbehav
_default_mics,wm,sexbehav_other1,5,Ex-boyfriend,5,,,sexbehav
_default_mics,wm,sexbehav_other1,6,Other,,,,sexbehav
_default_mics,wm,sexbehav_other1,9,Missing,,,,sexbehav
_default_mics,mn,sexbehav_age,0,Never had intercourse,0,,,sexbehav
_default_mics,mn,sexbehav_age,95,First time when started living with partner,,,,sexbehav
_default_mics,mn,sexbehav_age,97,inconsistent,,,,sexbehav
_default_mics,mn,sexbehav_age,98,DK,,,,sexbehav
_default_mics,mn,sexbehav_age,99,Missing,,,,sexbehav
_default_mics,mn,sexbehav_partner_num,99,Missing,,,,sexbehav
_default_mics,wm,sexbehav_marital,1,Currently married/in union,1,,,sexbehav
_default_mics,wm,sexbehav_marital,2,Formerly married/in union,2,,,sexbehav
_default_mics,wm,sexbehav_marital,3,Never married/in union,3,,,sexbehav
_default_mics,wm,sexbehav_marital,9,Missing/dk,,,,sexbehav
_default_mics,wm,sexbehav_condom,1,Yes,1,,,sexbehav
_default_mics,wm,sexbehav_condom,2,No,0,,,sexbehav
_default_mics,wm,sexbehav_condom,9,Missing,,,,sexbehav
_default_phia,phia,circ_status,1,YES,1,,,circ
_default_phia,phia,circ_status,2,NO,0,,,circ
_default_phia,phia,circ_status,-8,DONÕT KNOW,,,,circ
_default_phia,phia,circ_status,-9,REFUSED,,,,circ
_default_phia,phia,circ_age,,missing,,,,circ
_default_phia,phia,circ_who,1,"DOCTOR, CLINICAL OFFICER, OR NURSE",medical,,,circ
_default_phia,phia,circ_who,2,TRADITIONAL PRACTITIONER / CIRCUMCISER,traditional,,,circ
_default_phia,phia,circ_who,3,MIDWIFE,traditional,check how this should be coded,,circ
_default_phia,phia,circ_who,96,OTHER,traditional,,,circ
_default_phia,phia,circ_who,-8,DONÕT KNOW,,,,circ
_default_phia,phia,circ_who,-9,REFUSED,,,,circ
_default_phia,phia,sexbehav_marital,1,Married,1,,,sexbehav
_default_phia,phia,sexbehav_marital,2,Living together,1,,,sexbehav
_default_phia,phia,sexbehav_marital,3,Widowed,0,,,sexbehav
_default_phia,phia,sexbehav_marital,4,Divorced,0,,,sexbehav
_default_phia,phia,sexbehav_marital,5,Separated,0,,,sexbehav
_default_phia,phia,sexbehav_marital,-8,Don't know,,,,sexbehav
_default_phia,phia,sexbehav_marital,-9,Refused,,,,sexbehav
_default_phia,phia,sexbehav_condom,1,Yes,1,,,sexbehav
_default_phia,phia,sexbehav_condom,2,No,0,,,sexbehav
_default_phia,phia,sexbehav_condom,-8,Don't know,,,,sexbehav
_default_phia,phia,sexbehav_condom,-9,Refused,,,,sexbehav
_default_phia,phia,sexbehav_relationship,1,Husband/Wife,1,,,sexbehav
_default_phia,phia,sexbehav_relationship,2,Live in partner,2,,,sexbehav
_default_phia,phia,sexbehav_relationship,3,Partner not living with respondent,3,,,sexbehav
_default_phia,phia,sexbehav_relationship,4,Ex-spose/partner,4,,,sexbehav
_default_phia,phia,sexbehav_relationship,5,Friend/Acquaintance,5,,,sexbehav
_default_phia,phia,sexbehav_relationship,6,Sex worker,6,,,sexbehav
_default_phia,phia,sexbehav_relationship,7,Sex worker client,7,,,sexbehav
_default_phia,phia,sexbehav_relationship,8,Stranger,8,,,sexbehav
_default_phia,phia,sexbehav_relationship,96,Other,,,,sexbehav
_default_phia,phia,sexbehav_relationship,-8,Don't know,,,,sexbehav
_default_phia,phia,sexbehav_relationship,-9,Refused,,,,sexbehav
_default_phia,phia,sexbehav_other1,1,Husband/Wife,1,,,sexbehav
_default_phia,phia,sexbehav_other1,2,Live in partner,2,,,sexbehav
_default_phia,phia,sexbehav_other1,3,Partner not living with respondent,3,,,sexbehav
_default_phia,phia,sexbehav_other1,4,Ex-spose/partner,4,,,sexbehav
_default_phia,phia,sexbehav_other1,5,Friend/Acquaintance,5,,,sexbehav
_default_phia,phia,sexbehav_other1,6,Sex worker,6,,,sexbehav
_default_phia,phia,sexbehav_other1,7,Sex worker client,7,,,sexbehav
_default_phia,phia,sexbehav_other1,8,Stranger,8,,,sexbehav
_default_phia,phia,sexbehav_other1,96,Other,,,,sexbehav
_default_phia,phia,sexbehav_other1,-8,Don't know,,,,sexbehav
_default_phia,phia,sexbehav_other1,-9,Refused,,,,sexbehav
_default_phia,phia,sexbehav_other2,1,Husband/Wife,1,,,sexbehav
_default_phia,phia,sexbehav_other2,2,Live in partner,2,,,sexbehav
_default_phia,phia,sexbehav_other2,3,Partner not living with respondent,3,,,sexbehav
_default_phia,phia,sexbehav_other2,4,Ex-spose/partner,4,,,sexbehav
_default_phia,phia,sexbehav_other2,5,Friend/Acquaintance,5,,,sexbehav
_default_phia,phia,sexbehav_other2,6,Sex worker,6,,,sexbehav
_default_phia,phia,sexbehav_other2,7,Sex worker client,7,,,sexbehav
_default_phia,phia,sexbehav_other2,8,Stranger,8,,,sexbehav
_default_phia,phia,sexbehav_other2,96,Other,,,,sexbehav
_default_phia,phia,sexbehav_other2,-8,Don't know,,,,sexbehav
_default_phia,phia,sexbehav_other2,-9,Refused,,,,sexbehav
BEN1996DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
BEN1996DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
BEN1996DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
BEN1996DHS,ir,sexbehav_marital,9,missing,,,,sexbehav
BEN2001DHS,ir,circ_status,0,no,0,,,circ
BEN2001DHS,ir,circ_status,1,yes,1,,,circ
BEN2001DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
BEN2001DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
BEN2001DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
BEN2001DHS,ir,sexbehav_marital,9,missing,,,,sexbehav
BFA1999DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
BFA1999DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
BFA1999DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
BFA1999DHS,ir,sexbehav_marital,9,missing,,,,sexbehav
BFA2003DHS,mr,circ_status,0,no,0,,,circ
BFA2003DHS,mr,circ_status,1,yes,1,,,circ
BFA2003DHS,mr,circ_age,98,don't know,,,,circ
BFA2003DHS,mr,circ_age,95,during infancy,,,,circ
BFA2003DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
BFA2003DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
BFA2003DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
CAF2006MICS,mm,circ_status,1,Oui,1,,,circ
CAF2006MICS,mm,circ_status,2,Non,0,,,circ
CAF2006MICS,mm,circ_status,9,Manquant,,,,circ
CIV1998DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
CIV1998DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
CIV1998DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
CIV2005AIS,ir,circ_status,0,no,0,,,circ
CIV2005AIS,ir,circ_status,1,yes,1,,,circ
CIV2005AIS,ir,circ_status,9,missing,,,,circ
CIV2005AIS,ir,sexbehav_marital,0,never married,0,,,sexbehav
CIV2005AIS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
CIV2005AIS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
CMR1998DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
CMR1998DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
CMR1998DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
CMR2004DHS,mr,circ_status,0,no,0,,,circ
CMR2004DHS,mr,circ_status,1,yes,1,,,circ
CMR2004DHS,mr,circ_status,9,missing,,,,circ
COD2007DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
COD2007DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
COD2007DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
COD2007DHS,ir,sexbehav_marital,9,missing,,,,sexbehav
COG2005DHS,mr,circ_status,0,no,0,,,circ
COG2005DHS,mr,circ_status,1,yes,1,,,circ
COG2005DHS,mr,circ_status,9,missing,,,,circ
COG2005DHS,ir,sexbehav_marital,0,never married,0,,,sexbehav
COG2005DHS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
COG2005DHS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
COG2009AIS,ir,circ_status,0,no,0,,,circ
COG2009AIS,ir,circ_status,1,yes,1,,,circ
COG2009AIS,ir,circ_status,9,missing,,,,circ
COG2009AIS,ir,circ_age,1,less than 5 years/ during infancy,,,,circ
COG2009AIS,ir,circ_age,2,5-9 years,,,,circ
COG2009AIS,ir,circ_age,3,10 years or more,,,,circ
COG2009AIS,ir,circ_age,8,don't know,,,,circ
COG2009AIS,ir,circ_age,9,missing,,,,circ
COG2009AIS,ir,circ_who,1,health worker,medical,,,circ
COG2009AIS,ir,circ_who,2,other,traditional,,,circ
COG2009AIS,ir,circ_who,8,don't know,,,,circ
COG2009AIS,ir,circ_who,9,missing,,,,circ
COG2009AIS,ir,sexbehav_marital,0,never married,0,,,sexbehav
COG2009AIS,ir,sexbehav_marital,1,currently married,1,,,sexbehav
COG2009AIS,ir,sexbehav_marital,2,formerly married,2,,,sexbehav
