survey_id,dataset,variable,var_raw,var_label_raw,analysis,notes
_default_dhs,mr,circ_status,mv483,Respondent circumcised,circ,
_default_dhs,mr,circ_age,mv483a,Age at circumcision,circ,
_default_dhs,mr,circ_who,mv483b,Who performed the circumcision,circ,
_default_dhs,mr,circ_where,mv483c,Place where circumcision was done,circ,
_default_mics,mn,circ_age,mmc2,Age at circumcision,circ,
_default_mics,mn,circ_status,mmc1,Respondent is circumcised,circ,
_default_mics,mn,circ_where,mmc4,Place of circumcision,circ,
_default_mics,mn,circ_who,mmc3,Person performing circumcision,circ,
_default_phia,phia,circ_status,mcstatus,"Many men do not want to talk about circumcision, but it is important for us to have this information. Some men are circumcised.  Are you circumcised?",circ,
_default_phia,phia,circ_age,mcage,How old were you when you were circumcised? Please give your best guess.,circ,
_default_phia,phia,circ_who,mcwho,Who did the circumcision?,circ,
LSO2016PHIA,phia,circ_where,mcmeth,"If so, were you medically circumcised, traditionally circumcised, or both? ",circ,
NAM2017PHIA,phia,circ_where,mcwhere,Where were you circumcised? ,circ,
TZA2007AIS,ir,circ_status,s610,Is respondent circumcised (men only),circ,
TZA2003AIS,ir,circ_status,s601,Male circumcised,circ,
BFA2003DHS,mr,circ_status,sm801,Respondent circumcised,circ,
BFA2003DHS,mr,circ_age,sm802,Age at circumcision,circ,
CMR2004DHS,mr,circ_status,sm209a,Respondent circumcised,circ,
COG2005DHS,mr,circ_status,sm213,Circumcised,circ,
COG2011DHS,mr,circ_who,sm803,Who performed the circumcision,circ,
ETH2005DHS,mr,circ_status,sm448,Respondent circumcised,circ,
GHA2003DHS,mr,circ_status,sm738,Are you circumcised,circ,
GIN2005DHS,mr,circ_status,sm654,Has been circumcised,circ,
GTM2015DHS,mr,circ_where,sm807,Place where circumcision was done,circ,
KEN2003DHS,mr,circ_status,sm720,Are you circumcised,circ,
LSO2004DHS,mr,circ_status,sm748,Are you circumcised,circ,
LSO2009DHS,mr,circ_age,sm805a,Age at circumcision,circ,
LSO2009DHS,mr,circ_where,sm805c,Where circumcision was performed,circ,
LSO2014DHS,mr,circ_who,sm805a,Respondent traditionally circumcised,circ,
LSO2014DHS,mr,circ_age,sm805b,Age at traditional circumcision,circ,
LSO2014DHS,mr,circ_who,sm805c,Respondent medically circumcised,circ,
LSO2014DHS,mr,circ_age,sm805d,Age at medical circumcision,circ,
MDG2004DHS,mr,circ_status,sm737,Is circumcised,circ,
MOZ2003DHS,mr,circ_status,sm625,Circumcised,circ,
MOZ2003DHS,mr,circ_age,sm626,Age when circumcised,circ,
MOZ2003DHS,mr,circ_who,sm627,Circumcision made through doctors or traditional way,circ,
MWI2004DHS,mr,circ_status,sm737,Circumcised,circ,
MWI2010DHS,mr,circ_age,sm805a,"Age when circumcised""",circ,
MWI2010DHS,mr,circ_who,sm805b,Person who performed the circumcision,circ,
MWI2010DHS,mr,circ_where,sm805c,Place of circumcision,circ,
NAM2006DHS,mr,circ_age,sm814,Age at circumcision,circ,
NAM2006DHS,mr,circ_who,sm815,Who preformed circumcision,circ,
RWA2005DHS,mr,circ_status,sm801,Circumcised,circ,
RWA2008DHS,mr,circ_age,sm402,When you were circumcised,circ,
SEN2005DHS,mr,circ_status,sm654,Respondent circumcised,circ,
SWZ2006DHS,mr,circ_age,sm802,Age at circumcision,circ,
SWZ2006DHS,mr,circ_who,sm803,Who performed the circumcision,circ,
TCD2004DHS,mr,circ_status,sm711,He is circumcised,circ,
TZA2004DHS,mr,circ_status,fgm103,Respondent circumcised,circ,
TZA2010DHS,mr,circ_age,sm802,Age when circumcision occured,circ,
TZA2010DHS,mr,circ_who,sm803,Who did circumcision,circ,
TZA2010DHS,mr,circ_where,sm804,Where circumcision was done,circ,
ZMB2007DHS,mr,circ_age,sm802,Age circumcised,circ,
ZMB2013DHS,mr,circ_where,sm804,Place of circumcision,circ,
_default_dhs,ir,circ_status,g102,Respondent circumcised,circ,
_default_dhs,ir,circ_age,g106,Age at circumcision,circ,
COG2009AIS,ir,circ_who,s126,Who performed circumcision,circ,
COG2009AIS,ir,circ_age,s125,Age at circumcision,circ,
MOZ2009AIS,ir,circ_who,g107,Who performed circumcision,circ,
UGA2011AIS,ir,circ_age,s609,Age at circumcision,circ,
UGA2011AIS,ir,circ_where,s610,Where were you circumcised?,circ,
COG2009AIS,ir,circ_status,s124,Circumcised,circ,
CIV2005AIS,ir,circ_status,s501,Circumcised,circ,
UGA2011AIS,ir,circ_status,s608,Respondent circumcised,circ,
NGA2003DHS,ir,circ_age,fg107,Age at circumcision,circ,
SEN2005DHS,ir,circ_age,fg107,Age at circumcision,circ,
TZA2004DHS,ir,circ_age,fg107,Age at circumcision,circ,
SLE2008DHS,ir,circ_who,g107,Who performed circumcision,circ,
BEN2001DHS,ir,circ_status,fg103,Circumcised,circ,
_default_dhs,ir,sexbehav_time_intercourse,v529,Time since last intercourse(imputed),sexbehav,
_default_dhs,ir,sexbehav_age,v531,Age at first intercourse (imp),sexbehav,
_default_dhs,ir,sexbehav_partner_num,v766b,No. had sex including husband in last 12 months,sexbehav,
_default_dhs,ir,sexbehav_relationship,v767a,Relationship with last sex partner,sexbehav,
_default_dhs,ir,sexbehav_other1,v767b,Relationship with other sex partner (1),sexbehav,
_default_dhs,ir,sexbehav_other2,v767c,Relationship with other sex partner (2),sexbehav,
_default_dhs,ir,sexbehav_sti,v763a,Had any STD in last 12 months,sexbehav,
_default_dhs,ir,sexbehav_sore,v763b,Had genital sore/ulcer in last 12 months,sexbehav,
_default_dhs,ir,sexbehav_discharge,v763c,Had genital discharge in last 12 months,sexbehav,
_default_dhs,ir,sexbehav_marital,v501,Current marital status,sexbehav,
_default_dhs,ir,sexbehav_paidsex,v791a,Received money or gifts for sex in past 12 months,sexbehav,
_default_dhs,ir,sexbehav_condom,v761,Condom used during last sex with most recent partner,sexbehav,
GAB2000DHS,ir,sexbehav_partner_num,s523,Number of sex partners during last 12 months,sexbehav,
TZA1999DHS,ir,sexbehav_partner_num,s519,Sex with anyone else in 12 months,sexbehav,
BEN1996DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
BEN2001DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
BFA1999DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
BFA2003DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
CIV1998DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
CIV2005AIS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
CMR1998DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
COD2007DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
COG2005DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
COG2009AIS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
ETH2000DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
GAB2000DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
GHA1998DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
GHA2003DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
GHA2008DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
GIN1999DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
KEN1998DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
KEN2003DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
KEN2008DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
LBR2007DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
LSO2004DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
LSO2009DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
MLI1996DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
MLI2001DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
MLI2006DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
MOZ1997DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
MOZ2009AIS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
MWI2000DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
MWI2004DHS,ir,sexbehav_marital,v502,Currently/formerly/never marr.,sexbehav,
